date,player_1,player_2,winner,p1_rank,p2_rank,target
2024-01-01,Novak Djokovic,Zhizhen Zhang,Novak Djokovic,1.0,58.0,1
2024-01-01,Tallon Griekspoor,Borna Coric,Borna Coric,23.0,37.0,0
2024-01-01,Casper Ruud,Borna Coric,Casper Ruud,11.0,37.0,1
2024-01-01,Tallon Griekspoor,Casper Ruud,Casper Ruud,23.0,11.0,0
2024-01-01,Andrey Rublev,Emil Ruusuvuori,Andrey Rublev,5.0,69.0,1
2024-01-01,Juncheng Shang,Andrey Rublev,Andrey Rublev,183.0,5.0,0
2024-01-01,Emil Ruusuvuori,Sebastian Ofner,Emil Ruusuvuori,69.0,43.0,1
2024-01-01,Arthur Fils,Andrey Rublev,Andrey Rublev,36.0,5.0,0
2024-01-01,Juncheng Shang,Frances Tiafoe,Juncheng Shang,183.0,16.0,1
2024-01-01,Roberto Bautista Agut,Sebastian Ofner,Sebastian Ofner,57.0,43.0,0
2024-01-01,Emil Ruusuvuori,Pavel Kotov,Emil Ruusuvuori,69.0,67.0,1
2024-01-01,Liam Broady,Andrey Rublev,Andrey Rublev,108.0,5.0,0
2024-01-01,Arthur Fils,Marc Andrea Huesler,Arthur Fils,36.0,194.0,1
2024-01-01,Miomir Kecmanovic,Frances Tiafoe,Frances Tiafoe,54.0,16.0,0
2024-01-01,Juncheng Shang,Botic Van De Zandschulp,Juncheng Shang,183.0,50.0,1
2024-01-01,Jan Lennard Struff,Sebastian Ofner,Sebastian Ofner,25.0,43.0,0
2024-01-01,Roberto Bautista Agut,Francisco Cerundolo,Roberto Bautista Agut,57.0,21.0,1
2024-01-01,Lorenzo Musetti,Pavel Kotov,Pavel Kotov,27.0,67.0,0
2024-01-01,Emil Ruusuvuori,Karen Khachanov,Emil Ruusuvuori,69.0,15.0,1
2024-01-01,Pedro Cachin,Liam Broady,Liam Broady,70.0,108.0,0
2024-01-01,Marc Andrea Huesler,Vitaliy Sachko,Marc Andrea Huesler,194.0,169.0,1
2024-01-01,Borna Gojo,Arthur Fils,Arthur Fils,72.0,36.0,0
2024-01-01,Miomir Kecmanovic,Taro Daniel,Miomir Kecmanovic,54.0,75.0,1
2024-01-01,Shintaro Mochizuki,Botic Van De Zandschulp,Botic Van De Zandschulp,137.0,50.0,0
2024-01-01,Juncheng Shang,Laslo Djere,Juncheng Shang,183.0,33.0,1
2024-01-01,Marin Cilic,Jan Lennard Struff,Jan Lennard Struff,674.0,25.0,0
2024-01-01,Sebastian Ofner,Mackenzie Mcdonald,Sebastian Ofner,43.0,41.0,1
2024-01-01,Fabian Marozsan,Roberto Bautista Agut,Roberto Bautista Agut,64.0,57.0,0
2024-01-01,Nuno Borges,Pavel Kotov,Pavel Kotov,66.0,67.0,0
2024-01-01,Emil Ruusuvuori,Benjamin Bonzi,Emil Ruusuvuori,69.0,73.0,1
2024-01-08,Jack Draper,Jiri Lehecka,Jiri Lehecka,62.0,32.0,0
2024-01-08,Jack Draper,Alexander Bublik,Jack Draper,62.0,31.0,1
2024-01-08,Sebastian Korda,Jiri Lehecka,Jiri Lehecka,29.0,32.0,0
2024-01-08,Jack Draper,Tommy Paul,Jack Draper,62.0,14.0,1
2024-01-08,Lorenzo Musetti,Alexander Bublik,Alexander Bublik,25.0,31.0,0
2024-01-08,Sebastian Korda,Christopher Oconnell,Sebastian Korda,29.0,71.0,1
2024-01-08,Nicolas Jarry,Jiri Lehecka,Jiri Lehecka,18.0,32.0,0
2024-01-08,Tommy Paul,Alex Bolt,Tommy Paul,14.0,325.0,1
2024-01-08,Miomir Kecmanovic,Jack Draper,Jack Draper,55.0,62.0,0
2024-01-08,Lorenzo Musetti,Jordan Thompson,Lorenzo Musetti,25.0,47.0,1
2024-01-08,Daniel Evans,Alexander Bublik,Alexander Bublik,40.0,31.0,0
2024-01-08,Christopher Oconnell,Alexander Shevchenko,Christopher Oconnell,71.0,48.0,1
2024-01-08,Lorenzo Sonego,Sebastian Korda,Sebastian Korda,46.0,29.0,0
2024-01-08,Jiri Lehecka,Dusan Lajovic,Jiri Lehecka,32.0,52.0,1
2024-01-08,Matteo Arnaldi,Nicolas Jarry,Nicolas Jarry,41.0,18.0,0
2024-01-08,Alex Bolt,Thiago Seyboth Wild,Alex Bolt,325.0,78.0,1
2024-01-08,Mackenzie Mcdonald,Miomir Kecmanovic,Miomir Kecmanovic,42.0,55.0,0
2024-01-08,Jack Draper,Sebastian Baez,Jack Draper,62.0,26.0,1
2024-01-08,Facundo Diaz Acosta,Jordan Thompson,Jordan Thompson,93.0,47.0,0
2024-01-08,Daniel Evans,Rinky Hijikata,Daniel Evans,40.0,70.0,1
2024-01-08,James Mccabe,Alexander Bublik,Alexander Bublik,278.0,31.0,0
2024-01-08,Alexander Shevchenko,Tomas Martin Etcheverry,Alexander Shevchenko,48.0,30.0,1
2024-01-08,Arthur Rinderknech,Christopher Oconnell,Christopher Oconnell,97.0,71.0,0
2024-01-08,Lorenzo Sonego,Yannick Hanfmann,Lorenzo Sonego,46.0,49.0,1
2024-01-08,Adam Walton,Jiri Lehecka,Jiri Lehecka,176.0,32.0,0
2024-01-08,Dusan Lajovic,Thanasi Kokkinakis,Dusan Lajovic,52.0,68.0,1
2024-01-08,Bernabe Zapata Miralles,Matteo Arnaldi,Matteo Arnaldi,77.0,41.0,0
2024-01-08,Alejandro Tabilo,Taro Daniel,Alejandro Tabilo,82.0,74.0,1
2024-01-08,Ben Shelton,Taro Daniel,Taro Daniel,16.0,74.0,0
2024-01-08,Alejandro Tabilo,Arthur Fils,Alejandro Tabilo,82.0,35.0,1
2024-01-08,Roberto Carballes Baena,Ben Shelton,Ben Shelton,67.0,16.0,0
2024-01-08,Taro Daniel,Alexandre Muller,Taro Daniel,74.0,79.0,1
2024-01-08,Daniel Altmaier,Arthur Fils,Arthur Fils,57.0,35.0,0
2024-01-08,Alejandro Tabilo,Cameron Norrie,Alejandro Tabilo,82.0,19.0,1
2024-01-08,Fabian Marozsan,Ben Shelton,Ben Shelton,65.0,16.0,0
2024-01-08,Roberto Carballes Baena,Sebastian Ofner,Roberto Carballes Baena,67.0,37.0,1
2024-01-08,Francisco Cerundolo,Alexandre Muller,Alexandre Muller,22.0,79.0,0
2024-01-08,Taro Daniel,Max Purcell,Taro Daniel,74.0,45.0,1
2024-01-08,Nuno Borges,Arthur Fils,Arthur Fils,66.0,35.0,0
2024-01-08,Daniel Altmaier,Felix Auger Aliassime,Daniel Altmaier,57.0,27.0,1
2024-01-08,Botic Van De Zandschulp,Alejandro Tabilo,Alejandro Tabilo,59.0,82.0,0
2024-01-08,Cameron Norrie,Luca Van Assche,Cameron Norrie,19.0,87.0,1
2024-01-08,Gael Monfils,Fabian Marozsan,Fabian Marozsan,75.0,65.0,0
2024-01-08,Roberto Carballes Baena,Roberto Bautista Agut,Roberto Carballes Baena,67.0,51.0,1
2024-01-08,Denis Shapovalov,Sebastian Ofner,Sebastian Ofner,116.0,37.0,0
2024-01-08,Alexandre Muller,Benjamin Bonzi,Alexandre Muller,79.0,110.0,1
2024-01-08,Aleksandar Vukic,Taro Daniel,Taro Daniel,63.0,74.0,0
2024-01-08,Max Purcell,Kiranpal Pannu,Max Purcell,45.0,716.0,1
2024-01-08,Richard Gasquet,Arthur Fils,Arthur Fils,76.0,35.0,0
2024-01-08,Nuno Borges,Alex Michelsen,Nuno Borges,66.0,92.0,1
2024-01-08,Marcos Giron,Daniel Altmaier,Daniel Altmaier,60.0,57.0,0
2024-01-08,Botic Van De Zandschulp,Christopher Eubanks,Botic Van De Zandschulp,59.0,34.0,1
2024-01-08,Borna Gojo,Alejandro Tabilo,Alejandro Tabilo,91.0,82.0,0
2024-01-08,Luca Van Assche,J J Wolf,Luca Van Assche,87.0,54.0,1
2024-01-15,Dino Prizmic,Novak Djokovic,Novak Djokovic,187.0,1.0,0
2024-01-15,Alexei Popyrin,Marc Polmans,Alexei Popyrin,43.0,154.0,1
2024-01-15,Yannick Hanfmann,Gael Monfils,Gael Monfils,52.0,76.0,0
2024-01-15,Tomas Martin Etcheverry,Andy Murray,Tomas Martin Etcheverry,32.0,44.0,1
2024-01-15,Stan Wawrinka,Adrian Mannarino,Adrian Mannarino,56.0,19.0,0
2024-01-15,Jaume Munar,Alexander Shevchenko,Jaume Munar,82.0,48.0,1
2024-01-15,Cristian Garin,Christopher Oconnell,Christopher Oconnell,86.0,68.0,0
2024-01-15,Ben Shelton,Roberto Bautista Agut,Ben Shelton,16.0,72.0,1
2024-01-15,Facundo Diaz Acosta,Taylor Fritz,Taylor Fritz,90.0,12.0,0
2024-01-15,Hugo Gaston,Roberto Carballes Baena,Hugo Gaston,97.0,63.0,1
2024-01-15,Francisco Cerundolo,Dane Sweeny,Francisco Cerundolo,21.0,257.0,1
2024-01-15,Benjamin Bonzi,Lorenzo Musetti,Lorenzo Musetti,106.0,28.0,0
2024-01-15,Luca Van Assche,James Duckworth,Luca Van Assche,79.0,95.0,1
2024-01-15,Aleksandar Vukic,Jordan Thompson,Jordan Thompson,64.0,47.0,0
2024-01-15,Stefanos Tsitsipas,Zizou Bergs,Stefanos Tsitsipas,7.0,129.0,1
2024-01-15,Botic Van De Zandschulp,Jannik Sinner,Jannik Sinner,59.0,4.0,0
2024-01-15,Jesper De Jong,Pedro Cachin,Jesper De Jong,161.0,74.0,1
2024-01-15,Jason Kubler,Daniel Elahi Galan,Daniel Elahi Galan,113.0,87.0,0
2024-01-15,Sebastian Baez,J J Wolf,Sebastian Baez,29.0,57.0,1
2024-01-15,Borna Coric,Frances Tiafoe,Frances Tiafoe,40.0,17.0,0
2024-01-15,Tomas Machac,Shintaro Mochizuki,Tomas Machac,75.0,136.0,1
2024-01-15,Alejandro Tabilo,Aleksandar Kovacevic,Aleksandar Kovacevic,49.0,101.0,0
2024-01-15,Karen Khachanov,Daniel Altmaier,Karen Khachanov,15.0,50.0,1
2024-01-15,Milos Raonic,Alex De Minaur,Alex De Minaur,319.0,10.0,0
2024-01-15,Matteo Arnaldi,Adam Walton,Matteo Arnaldi,41.0,174.0,1
2024-01-15,Arthur Rinderknech,Pavel Kotov,Pavel Kotov,94.0,65.0,0
2024-01-15,Flavio Cobolli,Nicolas Jarry,Flavio Cobolli,100.0,18.0,1
2024-01-15,Vit Kopriva,Sebastian Korda,Sebastian Korda,132.0,26.0,0
2024-01-15,Quentin Halys,Lloyd Harris,Quentin Halys,110.0,167.0,1
2024-01-15,Taro Daniel,Christopher Eubanks,Christopher Eubanks,58.0,35.0,0
2024-01-15,Andrey Rublev,Thiago Seyboth Wild,Andrey Rublev,5.0,77.0,1
2024-01-15,Yoshihito Nishioka,Holger Rune,Holger Rune,61.0,8.0,0
2024-01-15,Arthur Cazaux,Laslo Djere,Arthur Cazaux,122.0,33.0,1
2024-01-15,Jiri Vesely,Arthur Fils,Arthur Fils,293.0,34.0,0
2024-01-15,Tallon Griekspoor,Roman Safiullin,Tallon Griekspoor,31.0,36.0,1
2024-01-15,David Goffin,Ugo Humbert,Ugo Humbert,112.0,20.0,0
2024-01-15,Zhizhen Zhang,Federico Coria,Zhizhen Zhang,54.0,84.0,1
2024-01-15,Denis Shapovalov,Jakub Mensik,Jakub Mensik,114.0,142.0,0
2024-01-15,Hubert Hurkacz,Omar Jasika,Hubert Hurkacz,9.0,343.0,1
2024-01-15,Marton Fucsovics,Grigor Dimitrov,Grigor Dimitrov,70.0,13.0,0
2024-01-15,Thanasi Kokkinakis,Sebastian Ofner,Thanasi Kokkinakis,80.0,37.0,1
2024-01-15,Maximilian Marterer,Nuno Borges,Nuno Borges,96.0,69.0,0
2024-01-15,Alejandro Davidovich Fokina,Constant Lestienne,Alejandro Davidovich Fokina,24.0,99.0,1
2024-01-15,Dominic Thiem,Felix Auger Aliassime,Felix Auger Aliassime,92.0,30.0,0
2024-01-15,Hugo Grenier,Alexandre Muller,Hugo Grenier,178.0,73.0,1
2024-01-15,Patrick Kypson,Emil Ruusuvuori,Emil Ruusuvuori,183.0,53.0,0
2024-01-15,Daniil Medvedev,Terence Atmane,Daniil Medvedev,3.0,144.0,1
2024-01-15,Dominik Koepfer,Alexander Zverev,Alexander Zverev,62.0,6.0,0
2024-01-15,Lukas Klein,Soon Woo Kwon,Lukas Klein,163.0,697.0,1
2024-01-15,James Mccabe,Alex Michelsen,Alex Michelsen,269.0,91.0,0
2024-01-15,Jiri Lehecka,Bernabe Zapata Miralles,Jiri Lehecka,23.0,78.0,1
2024-01-15,Juan Pablo Varillas,Cameron Norrie,Cameron Norrie,81.0,22.0,0
2024-01-15,Giulio Zeppieri,Dusan Lajovic,Giulio Zeppieri,133.0,51.0,1
2024-01-15,Mate Valkusz,Max Purcell,Max Purcell,214.0,45.0,0
2024-01-15,Casper Ruud,Albert Ramos,Casper Ruud,11.0,85.0,1
2024-01-15,Gregoire Barrere,Tommy Paul,Tommy Paul,83.0,14.0,0
2024-01-15,Jack Draper,Marcos Giron,Jack Draper,55.0,66.0,1
2024-01-15,Yosuke Watanuki,Miomir Kecmanovic,Miomir Kecmanovic,102.0,60.0,0
2024-01-15,Jan Lennard Struff,Rinky Hijikata,Jan Lennard Struff,25.0,71.0,1
2024-01-15,Alexander Bublik,Sumit Nagal,Sumit Nagal,27.0,137.0,0
2024-01-15,Juncheng Shang,Mackenzie Mcdonald,Juncheng Shang,140.0,42.0,1
2024-01-15,Daniel Evans,Lorenzo Sonego,Lorenzo Sonego,38.0,46.0,0
2024-01-15,Carlos Alcaraz,Richard Gasquet,Carlos Alcaraz,2.0,131.0,1
2024-01-15,Alexei Popyrin,Novak Djokovic,Novak Djokovic,43.0,1.0,0
2024-01-15,Tomas Martin Etcheverry,Gael Monfils,Tomas Martin Etcheverry,32.0,76.0,1
2024-01-15,Jaume Munar,Adrian Mannarino,Adrian Mannarino,82.0,19.0,0
2024-01-15,Ben Shelton,Christopher Oconnell,Ben Shelton,16.0,68.0,1
2024-01-15,Hugo Gaston,Taylor Fritz,Taylor Fritz,97.0,12.0,0
2024-01-15,Fabian Marozsan,Francisco Cerundolo,Fabian Marozsan,67.0,21.0,1
2024-01-15,Lorenzo Musetti,Luca Van Assche,Luca Van Assche,28.0,79.0,0
2024-01-15,Stefanos Tsitsipas,Jordan Thompson,Stefanos Tsitsipas,7.0,47.0,1
2024-01-15,Jesper De Jong,Jannik Sinner,Jannik Sinner,161.0,4.0,0
2024-01-15,Sebastian Baez,Daniel Elahi Galan,Sebastian Baez,29.0,87.0,1
2024-01-15,Frances Tiafoe,Tomas Machac,Tomas Machac,17.0,75.0,0
2024-01-15,Karen Khachanov,Aleksandar Kovacevic,Karen Khachanov,15.0,101.0,1
2024-01-15,Matteo Arnaldi,Alex De Minaur,Alex De Minaur,41.0,10.0,0
2024-01-15,Flavio Cobolli,Pavel Kotov,Flavio Cobolli,100.0,65.0,1
2024-01-15,Quentin Halys,Sebastian Korda,Sebastian Korda,110.0,26.0,0
2024-01-15,Andrey Rublev,Christopher Eubanks,Andrey Rublev,5.0,35.0,1
2024-01-15,Holger Rune,Arthur Cazaux,Arthur Cazaux,8.0,122.0,0
2024-01-15,Tallon Griekspoor,Arthur Fils,Tallon Griekspoor,31.0,34.0,1
2024-01-15,Zhizhen Zhang,Ugo Humbert,Ugo Humbert,54.0,20.0,0
2024-01-15,Hubert Hurkacz,Jakub Mensik,Hubert Hurkacz,9.0,142.0,1
2024-01-15,Thanasi Kokkinakis,Grigor Dimitrov,Grigor Dimitrov,80.0,13.0,0
2024-01-15,Nuno Borges,Alejandro Davidovich Fokina,Nuno Borges,69.0,24.0,1
2024-01-15,Hugo Grenier,Felix Auger Aliassime,Felix Auger Aliassime,178.0,30.0,0
2024-01-15,Daniil Medvedev,Emil Ruusuvuori,Daniil Medvedev,3.0,53.0,1
2024-01-15,Lukas Klein,Alexander Zverev,Alexander Zverev,163.0,6.0,0
2024-01-15,Alex Michelsen,Jiri Lehecka,Alex Michelsen,91.0,23.0,1
2024-01-15,Giulio Zeppieri,Cameron Norrie,Cameron Norrie,133.0,22.0,0
2024-01-15,Casper Ruud,Max Purcell,Casper Ruud,11.0,45.0,1
2024-01-15,Jack Draper,Tommy Paul,Tommy Paul,55.0,14.0,0
2024-01-15,Miomir Kecmanovic,Jan Lennard Struff,Miomir Kecmanovic,60.0,25.0,1
2024-01-15,Sumit Nagal,Juncheng Shang,Juncheng Shang,137.0,140.0,0
2024-01-15,Carlos Alcaraz,Lorenzo Sonego,Carlos Alcaraz,2.0,46.0,1
2024-01-15,Tomas Martin Etcheverry,Novak Djokovic,Novak Djokovic,32.0,1.0,0
2024-01-15,Adrian Mannarino,Ben Shelton,Adrian Mannarino,19.0,16.0,1
2024-01-15,Fabian Marozsan,Taylor Fritz,Taylor Fritz,67.0,12.0,0
2024-01-15,Stefanos Tsitsipas,Luca Van Assche,Stefanos Tsitsipas,7.0,79.0,1
2024-01-15,Sebastian Baez,Jannik Sinner,Jannik Sinner,29.0,4.0,0
2024-01-15,Karen Khachanov,Tomas Machac,Karen Khachanov,15.0,75.0,1
2024-01-15,Flavio Cobolli,Alex De Minaur,Alex De Minaur,100.0,10.0,0
2024-01-15,Andrey Rublev,Sebastian Korda,Andrey Rublev,5.0,26.0,1
2024-01-15,Tallon Griekspoor,Arthur Cazaux,Arthur Cazaux,31.0,122.0,0
2024-01-15,Hubert Hurkacz,Ugo Humbert,Hubert Hurkacz,9.0,20.0,1
2024-01-15,Grigor Dimitrov,Nuno Borges,Nuno Borges,13.0,69.0,0
2024-01-15,Daniil Medvedev,Felix Auger Aliassime,Daniil Medvedev,3.0,30.0,1
2024-01-15,Alex Michelsen,Alexander Zverev,Alexander Zverev,91.0,6.0,0
2024-01-15,Cameron Norrie,Casper Ruud,Cameron Norrie,22.0,11.0,1
2024-01-15,Tommy Paul,Miomir Kecmanovic,Miomir Kecmanovic,14.0,60.0,0
2024-01-15,Carlos Alcaraz,Juncheng Shang,Carlos Alcaraz,2.0,140.0,1
2024-01-15,Adrian Mannarino,Novak Djokovic,Novak Djokovic,19.0,1.0,0
2024-01-15,Taylor Fritz,Stefanos Tsitsipas,Taylor Fritz,12.0,7.0,1
2024-01-15,Karen Khachanov,Jannik Sinner,Jannik Sinner,15.0,4.0,0
2024-01-15,Andrey Rublev,Alex De Minaur,Andrey Rublev,5.0,10.0,1
2024-01-15,Arthur Cazaux,Hubert Hurkacz,Hubert Hurkacz,122.0,9.0,0
2024-01-15,Daniil Medvedev,Nuno Borges,Daniil Medvedev,3.0,69.0,1
2024-01-15,Cameron Norrie,Alexander Zverev,Alexander Zverev,22.0,6.0,0
2024-01-15,Carlos Alcaraz,Miomir Kecmanovic,Carlos Alcaraz,2.0,60.0,1
2024-01-15,Taylor Fritz,Novak Djokovic,Novak Djokovic,12.0,1.0,0
2024-01-15,Jannik Sinner,Andrey Rublev,Jannik Sinner,4.0,5.0,1
2024-01-15,Hubert Hurkacz,Daniil Medvedev,Daniil Medvedev,9.0,3.0,0
2024-01-15,Alexander Zverev,Carlos Alcaraz,Alexander Zverev,6.0,2.0,1
2024-01-15,Novak Djokovic,Jannik Sinner,Jannik Sinner,1.0,4.0,0
2024-01-15,Daniil Medvedev,Alexander Zverev,Daniil Medvedev,3.0,6.0,1
2024-01-15,Daniil Medvedev,Jannik Sinner,Jannik Sinner,3.0,4.0,0
2024-01-29,Alexander Bublik,Borna Coric,Alexander Bublik,27.0,37.0,1
2024-01-29,Holger Rune,Borna Coric,Borna Coric,7.0,37.0,0
2024-01-29,Alexander Bublik,Felix Auger Aliassime,Alexander Bublik,27.0,30.0,1
2024-01-29,Michael Mmoh,Holger Rune,Holger Rune,133.0,7.0,0
2024-01-29,Borna Coric,Flavio Cobolli,Borna Coric,37.0,76.0,1
2024-01-29,Harold Mayot,Felix Auger Aliassime,Felix Auger Aliassime,144.0,30.0,0
2024-01-29,Alexander Bublik,Alexander Shevchenko,Alexander Bublik,27.0,59.0,1
2024-01-29,Pablo Llamas Ruiz,Holger Rune,Holger Rune,156.0,7.0,0
2024-01-29,Michael Mmoh,Alexandre Muller,Michael Mmoh,133.0,71.0,1
2024-01-29,Pedro Martinez,Borna Coric,Borna Coric,99.0,37.0,0
2024-01-29,Flavio Cobolli,Constant Lestienne,Flavio Cobolli,76.0,106.0,1
2024-01-29,Benoit Paire,Harold Mayot,Harold Mayot,112.0,144.0,0
2024-01-29,Felix Auger Aliassime,Arthur Cazaux,Felix Auger Aliassime,30.0,83.0,1
2024-01-29,Gregoire Barrere,Alexander Shevchenko,Alexander Shevchenko,104.0,59.0,0
2024-01-29,Alexander Bublik,Denis Shapovalov,Alexander Bublik,27.0,137.0,1
2024-01-29,Richard Gasquet,Pablo Llamas Ruiz,Pablo Llamas Ruiz,130.0,156.0,0
2024-01-29,Michael Mmoh,Benjamin Bonzi,Michael Mmoh,133.0,126.0,1
2024-01-29,Antoine Escoffier,Alexandre Muller,Alexandre Muller,172.0,71.0,0
2024-01-29,Pedro Martinez,Jaume Munar,Pedro Martinez,99.0,75.0,1
2024-01-29,Bernabe Zapata Miralles,Constant Lestienne,Constant Lestienne,80.0,106.0,0
2024-01-29,Flavio Cobolli,Gael Monfils,Flavio Cobolli,76.0,70.0,1
2024-01-29,Andy Murray,Benoit Paire,Benoit Paire,49.0,112.0,0
2024-01-29,Harold Mayot,Lucas Pouille,Harold Mayot,144.0,315.0,1
2024-01-29,Maximilian Marterer,Arthur Cazaux,Arthur Cazaux,92.0,83.0,0
2024-01-29,Alexander Shevchenko,Dalibor Svrcina,Alexander Shevchenko,59.0,194.0,1
2024-01-29,Ugo Blanchet,Gregoire Barrere,Gregoire Barrere,214.0,104.0,0
2024-01-29,Denis Shapovalov,Hugo Gaston,Denis Shapovalov,137.0,88.0,1
2024-02-01,Oleksii Krutykh,Sebastian Korda,Sebastian Korda,342.0,33.0,0
2024-02-01,Christopher Eubanks,Viacheslav Bielinskyi,Christopher Eubanks,32.0,498.0,1
2024-02-01,Vladyslav Orlov,Taylor Fritz,Taylor Fritz,598.0,9.0,0
2024-02-02,Gabriel Diallo,Soon Woo Kwon,Gabriel Diallo,132.0,700.0,1
2024-02-02,Seong Chan Hong,Vasek Pospisil,Vasek Pospisil,224.0,486.0,0
2024-02-02,Gabriel Diallo,Seong Chan Hong,Gabriel Diallo,132.0,224.0,1
2024-02-02,Nuno Borges,Otto Virtanen,Otto Virtanen,47.0,166.0,0
2024-02-02,Emil Ruusuvuori,Joao Sousa,Emil Ruusuvuori,55.0,245.0,1
2024-02-02,Eero Vasa,Henrique Rocha,Henrique Rocha,1005.0,243.0,0
2024-02-02,Dominik Koepfer,Fabian Marozsan,Dominik Koepfer,60.0,57.0,1
2024-02-02,Jan Lennard Struff,Marton Fucsovics,Marton Fucsovics,24.0,82.0,0
2024-02-02,Jan Lennard Struff,Mate Valkusz,Jan Lennard Struff,24.0,213.0,1
2024-02-02,Tallon Griekspoor,Marc Andrea Huesler,Tallon Griekspoor,29.0,199.0,1
